,,,,,,
Clinical Condition,Common Pathogens,Empirical AMA,Alternate AMA,Comments,Duration,Remarks
CAP (Community Acquired Pneumonia),"Streptococcus pneumoniae, Haemophilus influenza, Mycoplasma, Chlamydia, respiratory viruses",Amoxicillin-clavulanate 1.2g IV q8h OR Ceftriaxone 1g IV q12h + Azithromycin 500mg OD OR Doxycycline 100mg BD,For patients with structural lung disease/recent antibiotic use/immunosuppression. Piperacillin tazobactam IV 4.5g q8h + Azithromycin OR Doxycycline,Avoid FQNs. Oseltamivir only if suspicion of H1N1.,5-7 days,"Hemodynamically stable, no
requirement for supplemental O2,
afebrile for 48-72 hours"
HCAP / Early onset VAP,"Staph aureus, Pseudomonas aeruginosa, Gram-negative enterobacteriaceae",Piperacillin tazobactam IV 4.5g q6-8h OR Cefoperazone sulbactam (2:1) 3g IV q12h,Meropenem 1g IV q8h OR Imipenem 500mg IV q6h OR Doripenem 500mg-1g IV q8h,Consider polymyxin B/colistin/ceftazidime avibactam + aztreonam if risk factors for CRE (ID Consult adviced). Vancomycin/ Linezolid if risk factors for MRSA ,7 days,"Longer courses for concomitant
bacteremia, immunosuppressed
host, pyogenic complications
(surgical source control advised),
invasive mold infections, slow
response to therapy"
HCAP / Early onset VAP,"MDR enterobacteriaceae
Pseudomonas spp,
Acinetobacter
spp,
Staph aureus
(MRSA), invasive
mold infections","Meropenem 1g q8h OR
Imipenem 500mg q6h
OR
Doripenem 500mg q8h
+
Vancomycin 25-30
mg/kg loading dose
followed by 15 mg/kg
every 8-12 hrs (target
trough concentration
15-20 mcg/ml) OR
Linezolid 600 mg BD","Polymixin B IV 15 lac
units loading dose
followed by 5 lac units
q8h +
Carbapenem +
Vancomycin 25-30
mg/kg loading dose
followed by 15 mg/kg
every 8-12 hrs (target
trough concentration
15-20 mcg/ml) OR
Linezolid 600 mg BD","For CRE:
ceftazidime
avibactam +
aztreonam (ID
consult advised)
Voriconazole/
Liposomal
Amphotericin B
for invasive mold
infection (ID
consult advised)",,
Lung Abscess,"Polymicrobial (Anaerobes, staph aureus, GNB)","Ampicillin sulbactam
3g IVq6h +/-
Clindamycin 600mg IV
q8h
Combination regimens-
Nocardia- Amikacin/
Linezolid/ TMP SMX","Piperacillin tazobactam
IV 4.5g q6-8h OR
Meropenem 1g q8h
OR
Imipenem 500mg q6h
OR
Doripenem 500mg q8h","Anaerobic cover
not routinely
required with
BLBLI/carbapene
m use
Prolonged
treatment on OPD
basis with
amoxicillin
clavulanate","Several months until CXR
shows stable resolution/
clearance","Initial IV antibiotics suggested
followed by oral agent on OPD basis
Prolonged antibiotic regimens for
opportunistic pathogens/
immunosuppressed hosts"
Lung Abscess,"Susceptible host
Nocardia spp,
Actinomyces spp.
Burkholderia
pseudomalei)","Actinomyces- Penicillin
G 18-24mil U/day (2-
6weeks) f/b amoxicillin
500-750mg TDS/QDS
Melioidosis-
Ceftazidime/
meropenem +/- TMP
SMX","Nocardia-ceftriaxone/
imipenem/moxifloxacin
/minocycline
Actinomycesdoxycycline,
clindamycin
TMP
SMX/doxycycline/
amoxicillin clavulanate","(ID consult
advised for
patients at risk of
opportunistic
pathogens)
Empirical
treatment
discouraged",,
Native Valve / Late Prosthetic Valve IE (>1yr),"VGS, S. aureus, β-hemolytic streptococci, HACEK, enterococcus","Ampicillin 2g IV q4h
(12g/d) +
Cloxacillin/Flucloxacilli
n 2g IV q4h (12g/d)/
Cefazolin 2g IV q8h +
Gentamicin 3mg/kg/d
single dose","Vancomycin 30-
60mg/kg/day in 2-3
doses (target trough
concentration 15-
20mcg/ml) +
Gentamicin 3mg/kg/d
single dose","Daptomycin
10mg/kg/d may
be considered if
unable to use
vancomycin (ID
consult advised)",4-6 weeks,"Duration calculated from 1st day
of negative blood cultures
Atleast 6 weeks for highly
resistant enterococci"
"Prosthetic
valve
Infective
Endocarditis
(<1yr)","Staph aureus,
CONS
enterococci, and
aerobic Gramnegative
bacilli","Ceftriaxone 2g IV q12h
+ Vancomycin 30-
60mg/kg/day in 2-3
doses (target trough
concentration 15-
20mcg/ml) +
Rifampicin 900-
1200mg/d
Meropenem 2g IV q8h
+ Vancomycin 30-
60mg/kg/day in 2-3
doses (target trough
concentration 15-
20mcg/ml) +
Rifampicin 900-
1200mg/d","Vancomycin 30-
60mg/kg/day in 2-3
doses (target trough
concentration 15-
20mcg/ml) +
Gentamicin 3,g/kg/d
single dose +
Rifampicin 900-
1200mg/d","Rifampin should
be used in PVE
after 3–5 days of
effective
antibiotic
therapy, once the
bacteremia is
cleared.","Atleast 6 weeks from 1st
negative blood culture report","Longer duration (months/years)
for fungal PVE"
Cellulitis / Pyomyositis,"S. pyogenes, S. aureus",Amoxicillin-clavulanate 1.2g IV q12h,Cloxacillin 2g IV q8h/Flucloxacillin 1-2g IV 6-8h OR Cefazolin 2g IV q8h,If risk factors for MRSA: Clindamycin/doxycycline/minocycline/linezolid.,"Cellulitis: 5-14 days
Pyomyositis: 14-28 days","Depends on extent of infection/
response to treatment
Atleast 28 days if concomitant
bactermia"
Diabetic Foot Infection,"Polymicrobial (staph, strep, enterobacteriaceae, pseudomonas, anaerobes)",Amoxicillin-clavulanate 1.2g IV q8h OR Ampicillin sulbactam 3g IV q6h,Piperacillin tazobactam 4.5g IV 6-8h OR Meropenem/Imipenem/Doripenem,Surgical source control where possible.,2 weeks,"Longer courses for extensive soft
tissue involvement/ osteomyelitis"
Necrotizing Fasciitis,"S. pyogens,
S. aureus (MRSA)
Polymicrobial
(anaerobes +
enterobacteriace
ae)","Piperacillin
tazobactam 4.5g IV
q6h + Vancomycin 15-
20mg/kg IV q8-12h +
Clindamycin 600-
900mg IV q8h","Meropenem 2g IV q8h
+ Vancomycin 15-
20mg/kg IV q8-12h +
Clindamycin 600-
900mg IV q8h","Urgent debridement advised. Clindamycin/
linezolid/tigecycline
recommended for
antitoxin effect in
GAS/ staph
infections",2-3 weeks,
